yyyy mm dd doy hh mm ss     H [nT]     D [nT]     Z [nT]     Proton [nT]
2023 07 10 191 00 07 30   29197.03    1750.83   39956.23   50577.89
2023 07 10 191 00 07 35   29197.05    1750.86   39956.21   50577.84
2023 07 10 191 00 07 40   29197.05    1750.89   39956.18   50577.91
2023 07 10 191 00 07 45   29197.01    1750.88   39956.13   50577.80
2023 07 10 191 00 07 50   29196.98    1750.87   39956.13   50577.77
2023 07 10 191 00 07 55   29196.97    1750.85   39956.13   50577.73
2023 07 10 191 00 08 00   29196.97    1750.84   39956.13   50577.77
2023 07 10 191 00 08 05   29196.98    1750.82   39956.13   50577.78
2023 07 10 191 00 08 10   29197.01    1750.79   39956.14   50577.80
2023 07 10 191 00 08 15   29197.03    1750.77   39956.15   50577.79
2023 07 10 191 00 08 20   29197.06    1750.76   39956.16   50577.78
2023 07 10 191 00 08 25   29197.09    1750.75   39956.16   50577.90
2023 07 10 191 00 08 30   29197.13    1750.76   39956.21   50577.88
2023 07 10 191 00 08 35   29197.16    1750.77   39956.21   50577.88
2023 07 10 191 00 08 40   29197.18    1750.75   39956.16   50577.96
2023 07 10 191 00 08 45   29197.20    1750.74   39956.12   50577.87
2023 07 10 191 00 08 50   29197.20    1750.71   39956.11   50577.93
2023 07 10 191 00 08 55   29197.17    1750.68   39956.17   50577.91
2023 07 10 191 00 09 00   29197.19    1750.69   39956.16   50577.89
2023 07 10 191 00 09 05   29197.11    1750.64   39956.23   50577.89
2023 07 10 191 00 09 10   29197.06    1750.65   39956.23   50577.95
2023 07 10 191 00 09 15   29197.06    1750.66   39956.21   50577.86
2023 07 10 191 00 09 20   29197.03    1750.68   39956.23   50577.80
2023 07 10 191 00 09 25   29197.03    1750.74   39956.20   50577.87
2023 07 10 191 00 09 30   29197.01    1750.79   39956.18   50577.82
2023 07 10 191 00 09 35   29196.99    1750.84   39956.15   50577.73
2023 07 10 191 00 09 40   29196.95    1750.86   39956.13   50577.78
2023 07 10 191 00 09 45   29196.89    1750.86   39956.11   50577.69
2023 07 10 191 00 09 50   29196.82    1750.88   39956.07   50577.59
2023 07 10 191 00 09 55   29196.81    1750.87   39956.04   50577.64
2023 07 10 191 00 10 00   29196.83    1750.83   39956.04   50577.56
2023 07 10 191 00 10 05   29196.88    1750.80   39956.09   50577.67
2023 07 10 191 00 10 10   29196.91    1750.72   39956.12   50577.73
2023 07 10 191 00 10 15   29196.92    1750.70   39956.14   50577.73
2023 07 10 191 00 10 20   29196.98    1750.71   39956.05   50577.66
2023 07 10 191 00 10 25   29196.98    1750.70   39956.09   50577.74
2023 07 10 191 00 10 30   29196.98    1750.69   39956.13   50577.76
2023 07 10 191 00 10 35   29196.99    1750.67   39956.12   50577.70
2023 07 10 191 00 10 40   29196.95    1750.67   39956.13   50577.78
2023 07 10 191 00 10 45   29196.89    1750.68   39956.13   50577.73
2023 07 10 191 00 10 50   29196.87    1750.70   39956.11   50577.60
2023 07 10 191 00 10 55   29196.82    1750.74   39956.06   50577.63
2023 07 10 191 00 11 00   29196.77    1750.76   39956.07   50577.55
2023 07 10 191 00 11 05   29196.79    1750.79   39956.05   50577.62
