yyyy mm dd doy hh mm ss     H [nT]     D [nT]     Z [nT]     Proton [nT]
2023 07 10 191 02 58 50   29186.10    1706.62   39942.41   50559.29
2023 07 10 191 02 58 55   29186.08    1706.55   39942.43   50559.19
2023 07 10 191 02 59 00   29186.09    1706.51   39942.41   50559.29
2023 07 10 191 02 59 05   29186.11    1706.46   39942.42   50559.25
2023 07 10 191 02 59 10   29186.10    1706.41   39942.42   50559.29
2023 07 10 191 02 59 15   29186.07    1706.34   39942.43   50559.20
2023 07 10 191 02 59 20   29186.06    1706.30   39942.45   50559.23
2023 07 10 191 02 59 25   29186.12    1706.30   39942.43   50559.23
2023 07 10 191 02 59 30   29186.16    1706.31   39942.46   50559.35
2023 07 10 191 02 59 35   29186.17    1706.33   39942.43   50559.36
2023 07 10 191 02 59 40   29186.17    1706.31   39942.39   50559.25
2023 07 10 191 02 59 45   29186.11    1706.26   39942.38   50559.28
2023 07 10 191 02 59 50   29186.07    1706.16   39942.37   50559.25
2023 07 10 191 02 59 55   29186.08    1706.06   39942.36   50559.16
2023 07 10 191 03 00 00   29186.07    1705.99   39942.40   50559.24
2023 07 10 191 03 00 05   29186.04    1705.93   39942.44   50559.22
2023 07 10 191 03 00 10   29186.05    1705.90   39942.41   50559.17
2023 07 10 191 03 00 15   29186.00    1705.83   39942.41   50559.23
2023 07 10 191 03 00 20   29185.95    1705.74   39942.41   50559.22
2023 07 10 191 03 00 25   29185.95    1705.66   39942.43   50559.13
2023 07 10 191 03 00 30   29185.96    1705.62   39942.45   50559.21
2023 07 10 191 03 00 35   29185.98    1705.65   39942.44   50559.23
2023 07 10 191 03 00 40   29186.04    1705.73   39942.41   50559.14
2023 07 10 191 03 00 45   29186.07    1705.81   39942.38   50559.24
2023 07 10 191 03 00 50   29186.09    1705.86   39942.37   50559.25
2023 07 10 191 03 00 55   29186.13    1705.85   39942.37   50559.23
2023 07 10 191 03 01 00   29186.14    1705.82   39942.33   50559.24
2023 07 10 191 03 01 05   29186.14    1705.81   39942.30   50559.20
2023 07 10 191 03 01 10   29186.14    1705.77   39942.30   50559.14
2023 07 10 191 03 01 15   29186.14    1705.72   39942.30   50559.24
2023 07 10 191 03 01 20   29186.13    1705.67   39942.30   50559.24
2023 07 10 191 03 01 25   29186.14    1705.60   39942.32   50559.13
2023 07 10 191 03 01 30   29186.18    1705.57   39942.32   50559.24
2023 07 10 191 03 01 35   29186.19    1705.53   39942.32   50559.28
2023 07 10 191 03 01 40   29186.22    1705.49   39942.33   50559.19
2023 07 10 191 03 01 45   29186.22    1705.46   39942.36   50559.31
2023 07 10 191 03 01 50   29186.18    1705.43   39942.36   50559.30
2023 07 10 191 03 01 55   29186.11    1705.38   39942.38   50559.26
2023 07 10 191 03 02 00   29186.10    1705.36   39942.37   50559.21
2023 07 10 191 03 02 05   29186.10    1705.33   39942.36   50559.19
2023 07 10 191 03 02 10   29186.07    1705.32   39942.38   50559.22
2023 07 10 191 03 02 15   29186.06    1705.33   39942.35   50559.18
2023 07 10 191 03 02 20   29185.99    1705.29   39942.30   50559.15
2023 07 10 191 03 02 25   29185.94    1705.23   39942.30   50559.00
2023 07 10 191 03 02 30   29185.90    1705.14   39942.30   50559.06
2023 07 10 191 03 02 35   29185.92    1705.10   39942.31   50559.07
2023 07 10 191 03 02 40   29185.94    1705.07   39942.32   50559.00
2023 07 10 191 03 02 45   29185.95    1705.02   39942.30   50559.08
2023 07 10 191 03 02 50   29185.99    1704.97   39942.34   50559.14
2023 07 10 191 03 02 55   29186.04    1704.90   39942.32   50559.06
2023 07 10 191 03 03 00   29186.08    1704.86   39942.30   50559.17
2023 07 10 191 03 03 05   29186.14    1704.85   39942.32   50559.18
2023 07 10 191 03 03 10   29186.15    1704.86   39942.29   50559.14
2023 07 10 191 03 03 15   29186.10    1704.84   39942.31   50559.24
2023 07 10 191 03 03 20   29186.06    1704.84   39942.32   50559.19
2023 07 10 191 03 03 25   29186.01    1704.81   39942.33   50559.07
2023 07 10 191 03 03 30   29185.99    1704.81   39942.32   50559.11
2023 07 10 191 03 03 35   29185.96    1704.83   39942.26   50559.08
2023 07 10 191 03 03 40   29185.96    1704.84   39942.23   50559.02
2023 07 10 191 03 03 45   29185.95    1704.82   39942.20   50559.01
2023 07 10 191 03 03 50   29185.93    1704.79   39942.20   50558.89
2023 07 10 191 03 03 55   29185.93    1704.73   39942.18   50558.98
2023 07 10 191 03 04 00   29185.93    1704.65   39942.19   50558.99
2023 07 10 191 03 04 05   29185.95    1704.56   39942.23   50558.97
2023 07 10 191 03 04 10   29185.98    1704.45   39942.23   50558.95
2023 07 10 191 03 04 15   29185.99    1704.35   39942.24   50559.04
2023 07 10 191 03 04 20   29186.01    1704.28   39942.26   50559.10
2023 07 10 191 03 04 25   29186.03    1704.27   39942.26   50559.01
2023 07 10 191 03 04 30   29186.08    1704.33   39942.24   50559.11
2023 07 10 191 03 04 35   29186.21    1704.42   39942.23   50559.18
2023 07 10 191 03 04 40   29186.32    1704.47   39942.20   50559.15
2023 07 10 191 03 04 45   29186.37    1704.47   39942.20   50559.19
2023 07 10 191 03 04 50   29186.32    1704.40   39942.18   50559.15
2023 07 10 191 03 04 55   29186.29    1704.32   39942.20   50559.22
2023 07 10 191 03 05 00   29186.24    1704.24   39942.19   50559.19
2023 07 10 191 03 05 05   29186.13    1704.16   39942.22   50559.09
2023 07 10 191 03 05 10   29186.08    1704.11   39942.25   50559.04
2023 07 10 191 03 05 15   29186.07    1704.07   39942.21   50559.03
2023 07 10 191 03 05 20   29186.08    1704.04   39942.16   50559.06
2023 07 10 191 03 05 25   29186.09    1703.99   39942.15   50558.97
2023 07 10 191 03 05 30   29186.08    1703.96   39942.21   50559.11
2023 07 10 191 03 05 35   29186.07    1703.96   39942.20   50559.10
2023 07 10 191 03 05 40   29186.05    1703.95   39942.18   50558.99
2023 07 10 191 03 05 45   29186.06    1703.93   39942.14   50559.02
2023 07 10 191 03 05 50   29186.06    1703.92   39942.15   50559.03
2023 07 10 191 03 05 55   29186.11    1703.90   39942.12   50559.01
2023 07 10 191 03 06 00   29186.18    1703.92   39942.10   50559.10
2023 07 10 191 03 06 05   29186.25    1703.96   39942.10   50559.04
2023 07 10 191 03 06 10   29186.31    1703.96   39942.05   50559.02
2023 07 10 191 03 06 15   29186.32    1703.96   39942.04   50559.10
2023 07 10 191 03 06 20   29186.31    1703.93   39942.02   50559.10
2023 07 10 191 03 06 25   29186.25    1703.90   39942.00   50558.96
2023 07 10 191 03 06 30   29186.18    1703.86   39941.99   50558.93
2023 07 10 191 03 06 35   29186.14    1703.84   39941.96   50558.83
2023 07 10 191 03 06 40   29186.10    1703.81   39941.95   50558.87
2023 07 10 191 03 06 45   29186.08    1703.79   39941.91   50558.87
2023 07 10 191 03 06 50   29186.09    1703.74   39941.91   50558.76
2023 07 10 191 03 06 55   29186.11    1703.68   39941.90   50558.78
2023 07 10 191 03 07 00   29186.12    1703.63   39941.89   50558.88
2023 07 10 191 03 07 05   29186.15    1703.57   39941.91   50558.86
2023 07 10 191 03 07 10   29186.18    1703.57   39941.93   50558.80
2023 07 10 191 03 07 15   29186.17    1703.59   39941.93   50558.90
2023 07 10 191 03 07 20   29186.18    1703.64   39941.92   50558.94
2023 07 10 191 03 07 25   29186.28    1703.69   39941.86   50558.83
2023 07 10 191 03 07 30   29186.28    1703.69   39941.88   50558.90
2023 07 10 191 03 07 35   29186.30    1703.68   39941.87   50558.96
2023 07 10 191 03 07 40   29186.29    1703.67   39941.80   50558.85
2023 07 10 191 03 07 45   29186.22    1703.61   39941.79   50558.86
2023 07 10 191 03 07 50   29186.17    1703.51   39941.76   50558.68
2023 07 10 191 03 07 55   29186.12    1703.39   39941.74   50558.70
2023 07 10 191 03 08 00   29186.02    1703.28   39941.73   50558.69
2023 07 10 191 03 08 05   29185.98    1703.19   39941.76   50558.63
2023 07 10 191 03 08 10   29185.95    1703.15   39941.73   50558.55
2023 07 10 191 03 08 15   29185.93    1703.13   39941.72   50558.55
2023 07 10 191 03 08 20   29185.95    1703.13   39941.70   50558.58
2023 07 10 191 03 08 25   29185.94    1703.11   39941.70   50558.48
2023 07 10 191 03 08 30   29185.94    1703.10   39941.67   50558.50
2023 07 10 191 03 08 35   29185.97    1703.12   39941.66   50558.56
2023 07 10 191 03 08 40   29185.99    1703.16   39941.63   50558.46
2023 07 10 191 03 08 45   29186.05    1703.18   39941.62   50558.48
2023 07 10 191 03 08 50   29186.05    1703.14   39941.60   50558.46
2023 07 10 191 03 08 55   29186.02    1703.06   39941.59   50558.47
2023 07 10 191 03 09 00   29185.93    1702.98   39941.59   50558.47
2023 07 10 191 03 09 05   29185.85    1702.93   39941.57   50558.36
2023 07 10 191 03 09 10   29185.80    1702.88   39941.55   50558.30
2023 07 10 191 03 09 15   29185.78    1702.83   39941.54   50558.27
2023 07 10 191 03 09 20   29185.77    1702.79   39941.54   50558.35
2023 07 10 191 03 09 25   29185.81    1702.80   39941.51   50558.29
2023 07 10 191 03 09 30   29185.84    1702.80   39941.46   50558.33
2023 07 10 191 03 09 35   29185.85    1702.80   39941.45   50558.26
2023 07 10 191 03 09 40   29185.83    1702.77   39941.38   50558.19
2023 07 10 191 03 09 45   29185.75    1702.70   39941.35   50558.22
2023 07 10 191 03 09 50   29185.71    1702.66   39941.36   50558.10
2023 07 10 191 03 09 55   29185.67    1702.64   39941.34   50558.06
2023 07 10 191 03 10 00   29185.67    1702.63   39941.30   50558.11
2023 07 10 191 03 10 05   29185.71    1702.63   39941.30   50558.09
2023 07 10 191 03 10 10   29185.71    1702.61   39941.27   50558.04
2023 07 10 191 03 10 15   29185.71    1702.60   39941.23   50557.99
2023 07 10 191 03 10 20   29185.70    1702.54   39941.20   50558.03
2023 07 10 191 03 10 25   29185.70    1702.48   39941.20   50557.95
2023 07 10 191 03 10 30   29185.74    1702.39   39941.18   50557.97
2023 07 10 191 03 10 35   29185.78    1702.31   39941.21   50557.99
2023 07 10 191 03 10 40   29185.82    1702.25   39941.20   50558.01
2023 07 10 191 03 10 45   29185.80    1702.20   39941.20   50558.09
2023 07 10 191 03 10 50   29185.81    1702.16   39941.19   50558.01
2023 07 10 191 03 10 55   29185.78    1702.14   39941.16   50557.96
2023 07 10 191 03 11 00   29185.81    1702.11   39941.17   50558.05
2023 07 10 191 03 11 05   29185.84    1702.06   39941.18   50558.05
2023 07 10 191 03 11 10   29185.90    1702.04   39941.16   50558.04
2023 07 10 191 03 11 15   29185.93    1702.03   39941.15   50558.05
2023 07 10 191 03 11 20   29185.99    1702.06   39941.11   50558.12
2023 07 10 191 03 11 25   29186.05    1702.11   39941.06   50558.03
2023 07 10 191 03 11 30   29186.12    1702.13   39940.99   50558.02
2023 07 10 191 03 11 35   29186.14    1702.09   39940.96   50558.11
2023 07 10 191 03 11 40   29186.13    1701.99   39941.00   50558.03
2023 07 10 191 03 11 45   29186.08    1701.87   39941.02   50558.09
2023 07 10 191 03 11 50   29186.02    1701.74   39941.03   50558.03
2023 07 10 191 03 11 55   29185.97    1701.59   39941.09   50558.03
2023 07 10 191 03 12 00   29185.99    1701.48   39941.11   50558.10
2023 07 10 191 03 12 05   29186.04    1701.44   39941.10   50558.05
2023 07 10 191 03 12 10   29186.11    1701.48   39941.06   50558.08
2023 07 10 191 03 12 15   29186.17    1701.59   39941.00   50558.13
2023 07 10 191 03 12 20   29186.22    1701.67   39940.95   50558.08
2023 07 10 191 03 12 25   29186.27    1701.70   39940.91   50558.06
2023 07 10 191 03 12 30   29186.32    1701.69   39940.88   50558.13
2023 07 10 191 03 12 35   29186.31    1701.67   39940.85   50558.02
2023 07 10 191 03 12 40   29186.23    1701.66   39940.79   50557.98
2023 07 10 191 03 12 45   29186.12    1701.61   39940.78   50557.92
2023 07 10 191 03 12 50   29185.97    1701.53   39940.74   50557.78
2023 07 10 191 03 12 55   29185.88    1701.44   39940.75   50557.68
2023 07 10 191 03 13 00   29185.84    1701.36   39940.71   50557.70
2023 07 10 191 03 13 05   29185.83    1701.29   39940.70   50557.69
2023 07 10 191 03 13 10   29185.93    1701.27   39940.66   50557.66
2023 07 10 191 03 13 15   29185.99    1701.24   39940.66   50557.66
2023 07 10 191 03 13 20   29186.04    1701.22   39940.61   50557.75
2023 07 10 191 03 13 25   29185.98    1701.16   39940.57   50557.59
2023 07 10 191 03 13 30   29185.88    1701.07   39940.58   50557.64
2023 07 10 191 03 13 35   29185.83    1701.00   39940.57   50557.57
2023 07 10 191 03 13 40   29185.81    1701.01   39940.55   50557.45
2023 07 10 191 03 13 45   29185.80    1701.02   39940.55   50557.54
2023 07 10 191 03 13 50   29185.83    1701.04   39940.50   50557.53
2023 07 10 191 03 13 55   29185.87    1701.06   39940.43   50557.42
2023 07 10 191 03 14 00   29185.90    1701.08   39940.37   50557.43
2023 07 10 191 03 14 05   29185.96    1701.11   39940.32   50557.45
2023 07 10 191 03 14 10   29186.00    1701.13   39940.29   50557.41
2023 07 10 191 03 14 15   29186.04    1701.11   39940.24   50557.35
2023 07 10 191 03 14 20   29186.01    1701.06   39940.22   50557.38
2023 07 10 191 03 14 25   29185.97    1701.01   39940.20   50557.34
2023 07 10 191 03 14 30   29185.95    1700.96   39940.17   50557.28
2023 07 10 191 03 14 35   29185.96    1700.94   39940.15   50557.28
2023 07 10 191 03 14 40   29185.99    1700.93   39940.13   50557.27
2023 07 10 191 03 14 45   29186.04    1700.95   39940.07   50557.29
2023 07 10 191 03 14 50   29186.07    1700.91   39940.03   50557.27
2023 07 10 191 03 14 55   29186.08    1700.84   39940.01   50557.15
2023 07 10 191 03 15 00   29186.10    1700.80   39939.98   50557.20
2023 07 10 191 03 15 05   29186.10    1700.77   39939.93   50557.19
2023 07 10 191 03 15 10   29186.05    1700.71   39939.96   50557.18
2023 07 10 191 03 15 15   29186.03    1700.68   39939.98   50557.10
2023 07 10 191 03 15 20   29186.05    1700.69   39939.93   50557.14
2023 07 10 191 03 15 25   29186.06    1700.66   39939.89   50557.12
2023 07 10 191 03 15 30   29186.07    1700.63   39939.86   50557.04
2023 07 10 191 03 15 35   29186.13    1700.61   39939.87   50557.13
2023 07 10 191 03 15 40   29186.22    1700.61   39939.82   50557.12
2023 07 10 191 03 15 45   29186.33    1700.65   39939.75   50557.18
2023 07 10 191 03 15 50   29186.38    1700.68   39939.71   50557.17
2023 07 10 191 03 15 55   29186.41    1700.69   39939.68   50557.11
2023 07 10 191 03 16 00   29186.43    1700.66   39939.64   50557.16
2023 07 10 191 03 16 05   29186.43    1700.62   39939.61   50557.11
2023 07 10 191 03 16 10   29186.44    1700.58   39939.62   50557.03
2023 07 10 191 03 16 15   29186.42    1700.53   39939.59   50557.09
2023 07 10 191 03 16 20   29186.43    1700.54   39939.54   50557.06
2023 07 10 191 03 16 25   29186.40    1700.51   39939.51   50557.05
2023 07 10 191 03 16 30   29186.39    1700.46   39939.49   50556.99
2023 07 10 191 03 16 35   29186.40    1700.43   39939.45   50557.00
2023 07 10 191 03 16 40   29186.46    1700.47   39939.43   50556.92
2023 07 10 191 03 16 45   29186.54    1700.56   39939.37   50557.00
2023 07 10 191 03 16 50   29186.62    1700.67   39939.27   50557.00
2023 07 10 191 03 16 55   29186.66    1700.72   39939.23   50556.91
2023 07 10 191 03 17 00   29186.64    1700.72   39939.20   50556.94
2023 07 10 191 03 17 05   29186.61    1700.66   39939.19   50556.91
2023 07 10 191 03 17 10   29186.59    1700.61   39939.11   50556.88
2023 07 10 191 03 17 15   29186.55    1700.54   39939.07   50556.71
2023 07 10 191 03 17 20   29186.51    1700.46   39939.07   50556.73
2023 07 10 191 03 17 25   29186.51    1700.39   39939.02   50556.64
2023 07 10 191 03 17 30   29186.52    1700.33   39939.00   50556.69
2023 07 10 191 03 17 35   29186.59    1700.26   39938.96   50556.73
2023 07 10 191 03 17 40   29186.61    1700.20   39938.98   50556.65
2023 07 10 191 03 17 45   29186.62    1700.15   39938.98   50556.72
2023 07 10 191 03 17 50   29186.60    1700.11   39938.97   50556.73
2023 07 10 191 03 17 55   29186.57    1700.07   39938.94   50556.60
2023 07 10 191 03 18 00   29186.57    1700.05   39938.91   50556.61
2023 07 10 191 03 18 05   29186.63    1700.07   39938.88   50556.62
2023 07 10 191 03 18 10   29186.70    1700.10   39938.84   50556.68
2023 07 10 191 03 18 15   29186.75    1700.15   39938.80   50556.59
2023 07 10 191 03 18 20   29186.80    1700.17   39938.77   50556.65
2023 07 10 191 03 18 25   29186.85    1700.15   39938.75   50556.60
2023 07 10 191 03 18 30   29186.92    1700.11   39938.72   50556.67
2023 07 10 191 03 18 35   29187.01    1700.07   39938.71   50556.75
2023 07 10 191 03 18 40   29187.10    1700.06   39938.68   50556.74
2023 07 10 191 03 18 45   29187.21    1700.06   39938.66   50556.79
2023 07 10 191 03 18 50   29187.30    1700.06   39938.63   50556.87
2023 07 10 191 03 18 55   29187.36    1700.08   39938.61   50556.81
2023 07 10 191 03 19 00   29187.42    1700.09   39938.61   50556.87
2023 07 10 191 03 19 05   29187.46    1700.08   39938.58   50556.89
2023 07 10 191 03 19 10   29187.54    1700.10   39938.53   50556.85
2023 07 10 191 03 19 15   29187.57    1700.12   39938.48   50556.90
2023 07 10 191 03 19 20   29187.62    1700.13   39938.43   50556.93
2023 07 10 191 03 19 25   29187.68    1700.15   39938.41   50556.83
2023 07 10 191 03 19 30   29187.71    1700.13   39938.38   50556.88
2023 07 10 191 03 19 35   29187.71    1700.07   39938.37   50556.94
2023 07 10 191 03 19 40   29187.73    1700.02   39938.40   50556.85
2023 07 10 191 03 19 45   29187.77    1700.00   39938.35   50556.91
2023 07 10 191 03 19 50   29187.79    1700.01   39938.32   50556.98
2023 07 10 191 03 19 55   29187.86    1700.03   39938.28   50556.95
2023 07 10 191 03 20 00   29187.88    1700.04   39938.23   50556.91
2023 07 10 191 03 20 05   29187.92    1700.01   39938.24   50556.93
2023 07 10 191 03 20 10   29187.95    1699.96   39938.20   50556.85
2023 07 10 191 03 20 15   29187.98    1699.89   39938.17   50556.88
2023 07 10 191 03 20 20   29188.01    1699.82   39938.15   50556.94
2023 07 10 191 03 20 25   29188.04    1699.83   39938.13   50556.92
2023 07 10 191 03 20 30   29188.10    1699.86   39938.09   50556.91
2023 07 10 191 03 20 35   29188.10    1699.91   39938.03   50556.92
2023 07 10 191 03 20 40   29188.13    1699.90   39938.01   50556.80
2023 07 10 191 03 20 45   29188.14    1699.85   39937.98   50556.85
2023 07 10 191 03 20 50   29188.12    1699.79   39938.00   50556.88
2023 07 10 191 03 20 55   29188.18    1699.77   39937.97   50556.81
2023 07 10 191 03 21 00   29188.25    1699.77   39937.91   50556.83
2023 07 10 191 03 21 05   29188.34    1699.77   39937.87   50556.88
2023 07 10 191 03 21 10   29188.39    1699.77   39937.83   50556.93
2023 07 10 191 03 21 15   29188.43    1699.78   39937.79   50556.83
2023 07 10 191 03 21 20   29188.41    1699.75   39937.76   50556.83
2023 07 10 191 03 21 25   29188.33    1699.68   39937.77   50556.74
2023 07 10 191 03 21 30   29188.31    1699.60   39937.72   50556.73
2023 07 10 191 03 21 35   29188.33    1699.51   39937.75   50556.76
2023 07 10 191 03 21 40   29188.33    1699.47   39937.80   50556.72
2023 07 10 191 03 21 45   29188.36    1699.46   39937.77   50556.79
2023 07 10 191 03 21 50   29188.39    1699.43   39937.73   50556.81
2023 07 10 191 03 21 55   29188.39    1699.41   39937.66   50556.70
2023 07 10 191 03 22 00   29188.42    1699.41   39937.59   50556.70
2023 07 10 191 03 22 05   29188.46    1699.40   39937.57   50556.69
2023 07 10 191 03 22 10   29188.49    1699.40   39937.54   50556.71
2023 07 10 191 03 22 15   29188.57    1699.36   39937.52   50556.67
2023 07 10 191 03 22 20   29188.67    1699.29   39937.51   50556.79
2023 07 10 191 03 22 25   29188.75    1699.25   39937.50   50556.73
2023 07 10 191 03 22 30   29188.83    1699.26   39937.46   50556.82
2023 07 10 191 03 22 35   29188.91    1699.30   39937.38   50556.87
2023 07 10 191 03 22 40   29188.95    1699.33   39937.38   50556.79
2023 07 10 191 03 22 45   29189.06    1699.34   39937.35   50556.87
2023 07 10 191 03 22 50   29189.09    1699.32   39937.32   50556.81
2023 07 10 191 03 22 55   29189.13    1699.34   39937.26   50556.83
2023 07 10 191 03 23 00   29189.18    1699.32   39937.24   50556.90
2023 07 10 191 03 23 05   29189.25    1699.30   39937.24   50556.92
2023 07 10 191 03 23 10   29189.29    1699.26   39937.24   50556.86
2023 07 10 191 03 23 15   29189.29    1699.23   39937.24   50556.94
2023 07 10 191 03 23 20   29189.26    1699.22   39937.20   50556.96
2023 07 10 191 03 23 25   29189.21    1699.20   39937.16   50556.77
2023 07 10 191 03 23 30   29189.18    1699.17   39937.20   50556.84
2023 07 10 191 03 23 35   29189.22    1699.18   39937.17   50556.91
2023 07 10 191 03 23 40   29189.29    1699.18   39937.13   50556.80
2023 07 10 191 03 23 45   29189.34    1699.19   39937.07   50556.82
2023 07 10 191 03 23 50   29189.37    1699.20   39936.98   50556.83
2023 07 10 191 03 23 55   29189.40    1699.17   39936.93   50556.78
2023 07 10 191 03 24 00   29189.43    1699.17   39936.91   50556.70
2023 07 10 191 03 24 05   29189.53    1699.13   39936.91   50556.78
2023 07 10 191 03 24 10   29189.56    1699.12   39936.87   50556.76
2023 07 10 191 03 24 15   29189.58    1699.12   39936.82   50556.75
2023 07 10 191 03 24 20   29189.60    1699.12   39936.78   50556.79
2023 07 10 191 03 24 25   29189.59    1699.09   39936.73   50556.70
2023 07 10 191 03 24 30   29189.65    1699.07   39936.71   50556.72
2023 07 10 191 03 24 35   29189.73    1699.06   39936.66   50556.74
2023 07 10 191 03 24 40   29189.77    1699.01   39936.63   50556.67
2023 07 10 191 03 24 45   29189.79    1698.97   39936.65   50556.73
2023 07 10 191 03 24 50   29189.78    1698.94   39936.63   50556.79
2023 07 10 191 03 24 55   29189.75    1698.91   39936.61   50556.66
2023 07 10 191 03 25 00   29189.74    1698.89   39936.59   50556.70
2023 07 10 191 03 25 05   29189.80    1698.87   39936.54   50556.69
2023 07 10 191 03 25 10   29189.87    1698.82   39936.53   50556.66
2023 07 10 191 03 25 15   29189.97    1698.79   39936.51   50556.76
2023 07 10 191 03 25 20   29190.08    1698.80   39936.48   50556.86
2023 07 10 191 03 25 25   29190.12    1698.80   39936.45   50556.76
2023 07 10 191 03 25 30   29190.08    1698.78   39936.41   50556.78
2023 07 10 191 03 25 35   29189.95    1698.67   39936.46   50556.77
2023 07 10 191 03 25 40   29189.88    1698.58   39936.47   50556.72
2023 07 10 191 03 25 45   29189.89    1698.56   39936.45   50556.73
2023 07 10 191 03 25 50   29190.01    1698.58   39936.39   50556.64
2023 07 10 191 03 25 55   29190.13    1698.62   39936.31   50556.70
2023 07 10 191 03 26 00   29190.20    1698.64   39936.24   50556.72
2023 07 10 191 03 26 05   29190.21    1698.61   39936.21   50556.71
2023 07 10 191 03 26 10   29190.25    1698.59   39936.19   50556.73
2023 07 10 191 03 26 15   29190.32    1698.57   39936.14   50556.66
2023 07 10 191 03 26 20   29190.40    1698.55   39936.15   50556.78
2023 07 10 191 03 26 25   29190.52    1698.54   39936.14   50556.72
2023 07 10 191 03 26 30   29190.66    1698.56   39936.11   50556.82
2023 07 10 191 03 26 35   29190.75    1698.57   39936.07   50556.94
2023 07 10 191 03 26 40   29190.80    1698.60   39936.03   50556.85
2023 07 10 191 03 26 45   29190.83    1698.65   39935.99   50556.87
2023 07 10 191 03 26 50   29190.85    1698.65   39935.96   50556.80
2023 07 10 191 03 26 55   29190.88    1698.64   39935.91   50556.85
2023 07 10 191 03 27 00   29190.90    1698.61   39935.89   50556.86
2023 07 10 191 03 27 05   29190.93    1698.57   39935.85   50556.85
2023 07 10 191 03 27 10   29190.96    1698.54   39935.82   50556.78
2023 07 10 191 03 27 15   29190.99    1698.51   39935.85   50556.82
2023 07 10 191 03 27 20   29191.01    1698.48   39935.83   50556.88
2023 07 10 191 03 27 25   29191.00    1698.41   39935.86   50556.79
2023 07 10 191 03 27 30   29191.01    1698.35   39935.85   50556.87
2023 07 10 191 03 27 35   29191.04    1698.36   39935.83   50556.91
2023 07 10 191 03 27 40   29191.09    1698.38   39935.77   50556.82
2023 07 10 191 03 27 45   29191.18    1698.42   39935.70   50556.86
2023 07 10 191 03 27 50   29191.25    1698.42   39935.66   50556.88
2023 07 10 191 03 27 55   29191.31    1698.40   39935.64   50556.90
2023 07 10 191 03 28 00   29191.36    1698.40   39935.59   50556.85
2023 07 10 191 03 28 05   29191.39    1698.42   39935.55   50556.87
2023 07 10 191 03 28 10   29191.44    1698.43   39935.52   50556.84
2023 07 10 191 03 28 15   29191.53    1698.40   39935.48   50556.89
2023 07 10 191 03 28 20   29191.59    1698.35   39935.46   50556.95
2023 07 10 191 03 28 25   29191.63    1698.31   39935.46   50556.87
2023 07 10 191 03 28 30   29191.68    1698.25   39935.45   50556.91
2023 07 10 191 03 28 35   29191.75    1698.18   39935.47   50556.91
2023 07 10 191 03 28 40   29191.81    1698.12   39935.45   50557.03
2023 07 10 191 03 28 45   29191.91    1698.10   39935.43   50557.09
2023 07 10 191 03 28 50   29192.02    1698.10   39935.43   50557.05
2023 07 10 191 03 28 55   29192.15    1698.16   39935.41   50557.21
2023 07 10 191 03 29 00   29192.29    1698.19   39935.41   50557.30
2023 07 10 191 03 29 05   29192.35    1698.22   39935.36   50557.34
2023 07 10 191 03 29 10   29192.33    1698.19   39935.41   50557.27
2023 07 10 191 03 29 15   29192.33    1698.17   39935.38   50557.33
2023 07 10 191 03 29 20   29192.36    1698.14   39935.34   50557.28
2023 07 10 191 03 29 25   29192.35    1698.12   39935.35   50557.22
2023 07 10 191 03 29 30   29192.34    1698.11   39935.32   50557.23
2023 07 10 191 03 29 35   29192.32    1698.11   39935.24   50557.21
2023 07 10 191 03 29 40   29192.31    1698.09   39935.16   50557.10
2023 07 10 191 03 29 45   29192.29    1698.08   39935.11   50557.09
2023 07 10 191 03 29 50   29192.32    1698.06   39935.07   50556.99
2023 07 10 191 03 29 55   29192.38    1698.04   39935.05   50557.04
2023 07 10 191 03 30 00   29192.47    1698.02   39935.03   50557.12
2023 07 10 191 03 30 05   29192.61    1698.02   39935.01   50557.15
2023 07 10 191 03 30 10   29192.74    1698.02   39934.98   50557.23
2023 07 10 191 03 30 15   29192.88    1698.01   39934.97   50557.30
2023 07 10 191 03 30 20   29192.96    1698.00   39934.94   50557.33
2023 07 10 191 03 30 25   29192.97    1697.98   39934.91   50557.22
2023 07 10 191 03 30 30   29192.97    1697.97   39934.86   50557.29
2023 07 10 191 03 30 35   29192.98    1697.99   39934.82   50557.26
2023 07 10 191 03 30 40   29193.02    1697.99   39934.80   50557.19
2023 07 10 191 03 30 45   29193.06    1697.95   39934.84   50557.29
2023 07 10 191 03 30 50   29193.06    1697.88   39934.85   50557.22
2023 07 10 191 03 30 55   29193.06    1697.83   39934.82   50557.27
2023 07 10 191 03 31 00   29193.04    1697.79   39934.84   50557.27
2023 07 10 191 03 31 05   29193.04    1697.78   39934.87   50557.25
2023 07 10 191 03 31 10   29193.06    1697.80   39934.84   50557.23
2023 07 10 191 03 31 15   29193.07    1697.79   39934.80   50557.26
2023 07 10 191 03 31 20   29193.07    1697.78   39934.72   50557.24
2023 07 10 191 03 31 25   29193.10    1697.74   39934.63   50557.19
2023 07 10 191 03 31 30   29193.14    1697.68   39934.61   50557.11
2023 07 10 191 03 31 35   29193.18    1697.65   39934.59   50557.07
2023 07 10 191 03 31 40   29193.28    1697.65   39934.55   50557.20
2023 07 10 191 03 31 45   29193.37    1697.65   39934.53   50557.25
2023 07 10 191 03 31 50   29193.43    1697.66   39934.52   50557.18
2023 07 10 191 03 31 55   29193.46    1697.63   39934.52   50557.27
