iyr mon idm doy ihr min sec power
 10  3 11  70  3 19 10.0   0.311E-03
 10  3 11  70  3 20 40.0   0.932E-04
 10  3 11  70  3 22 10.0   0.234E-03
 10  3 11  70  3 23 40.0   0.165E-03
 10  3 11  70  3 25 10.0   0.165E-03
 10  3 11  70  3 26 40.0   0.240E-03
 10  3 11  70  3 28 10.0   0.289E-03
 10  3 11  70  3 29 40.0   0.244E-03
 10  3 11  70  3 31 10.0   0.509E-03
 10  3 11  70  3 32 40.0   0.338E-03
 10  3 11  70  3 34 10.0   0.241E-03
 10  3 11  70  3 35 40.0   0.454E-04
 10  3 11  70  3 37 10.0   0.753E-04
 10  3 11  70  3 38 40.0   0.118E-03
 10  3 11  70  3 40 10.0   0.224E-03
 10  3 11  70  3 41 40.0   0.669E-04
 10  3 11  70  3 43 10.0   0.142E-03
 10  3 11  70  3 44 40.0   0.182E-03
 10  3 11  70  3 46 10.0   0.614E-04
 10  3 11  70  3 47 40.0   0.593E-04
 10  3 11  70  3 49 10.0   0.110E-03
 10  3 11  70  3 50 40.0   0.128E-03
 10  3 11  70  3 52 10.0   0.194E-03
 10  3 11  70  3 53 40.0   0.878E-04
 10  3 11  70  3 55 10.0   0.121E-03
 10  3 11  70  3 56 40.0   0.237E-03
 10  3 11  70  3 58 10.0   0.146E-03
 10  3 11  70  3 59 40.0   0.191E-03
 10  3 11  70  4  1 10.0   0.126E-03
 10  3 11  70  4  2 40.0   0.491E-04
 10  3 11  70  4  4 10.0   0.485E-04
 10  3 11  70  4  5 40.0   0.184E-03
 10  3 11  70  4  7 10.0   0.843E-04
 10  3 11  70  4  8 40.0   0.375E-04
 10  3 11  70  4 10 10.0   0.231E-03
 10  3 11  70  4 11 40.0   0.433E-03
 10  3 11  70  4 13 10.0   0.158E-03
 10  3 11  70  4 14 40.0   0.623E-04
 10  3 11  70  4 16 10.0   0.537E-04
 10  3 11  70  4 17 40.0   0.741E-04
 10  3 11  70  4 19 10.0   0.698E-04
 10  3 11  70  4 20 40.0   0.174E-04
 10  3 11  70  4 22 10.0   0.535E-04
 10  3 11  70  4 23 40.0   0.126E-03
 10  3 11  70  4 25 10.0   0.439E-04
 10  3 11  70  4 26 40.0   0.170E-03
 10  3 11  70  4 28 10.0   0.108E-03
 10  3 11  70  4 29 40.0   0.932E-04
 10  3 11  70  4 31 10.0   0.171E-03
 10  3 11  70  4 32 40.0   0.174E-03
 10  3 11  70  4 34 10.0   0.128E-03
 10  3 11  70  4 35 40.0   0.791E-04
 10  3 11  70  4 37 10.0   0.258E-03
 10  3 11  70  4 38 40.0   0.225E-03
 10  3 11  70  4 40 10.0   0.152E-03
 10  3 11  70  4 41 40.0   0.152E-03
 10  3 11  70  4 43 10.0   0.231E-03
 10  3 11  70  4 44 40.0   0.173E-03
 10  3 11  70  4 46 10.0   0.158E-03
 10  3 11  70  4 47 40.0   0.569E-04
 10  3 11  70  4 49 10.0   0.131E-03
 10  3 11  70  4 50 40.0   0.929E-04
 10  3 11  70  4 52 10.0   0.178E-03
 10  3 11  70  4 53 40.0   0.481E-03
 10  3 11  70  4 55 10.0   0.182E-03
 10  3 11  70  4 56 40.0   0.296E-03
 10  3 11  70  4 58 10.0   0.513E-03
 10  3 11  70  4 59 40.0   0.446E-03
 10  3 11  70  5  1 10.0   0.205E-03
 10  3 11  70  5  2 40.0   0.229E-03
 10  3 11  70  5  4 10.0   0.180E-03
 10  3 11  70  5  5 40.0   0.717E-04
 10  3 11  70  5  7 10.0   0.830E-04
 10  3 11  70  5  8 40.0   0.226E-03
 10  3 11  70  5 10 10.0   0.236E-03
 10  3 11  70  5 11 40.0   0.124E-03
 10  3 11  70  5 13 10.0   0.132E-03
 10  3 11  70  5 14 40.0   0.633E-04
 10  3 11  70  5 16 10.0   0.736E-04
 10  3 11  70  5 17 40.0   0.176E-03
 10  3 11  70  5 19 10.0   0.116E-03
 10  3 11  70  5 20 40.0   0.780E-04
 10  3 11  70  5 22 10.0   0.686E-03
 10  3 11  70  5 23 40.0   0.666E-03
 10  3 11  70  5 25 10.0   0.569E-03
 10  3 11  70  5 26 40.0   0.401E-03
 10  3 11  70  5 28 10.0   0.943E-04
 10  3 11  70  5 29 40.0   0.801E-04
 10  3 11  70  5 31 10.0   0.951E-04
 10  3 11  70  5 32 40.0   0.907E-04
 10  3 11  70  5 34 10.0   0.226E-02
 10  3 11  70  5 35 40.0   0.533E-02
 10  3 11  70  5 37 10.0   0.449E-02
 10  3 11  70  5 38 40.0   0.334E-02
 10  3 11  70  5 40 10.0   0.480E-03
 10  3 11  70  5 41 40.0   0.973E-03
 10  3 11  70  5 43 10.0   0.103E-02
 10  3 11  70  5 44 40.0   0.950E-03
 10  3 11  70  5 46 10.0   0.544E-03
 10  3 11  70  5 47 40.0   0.284E-03
 10  3 11  70  5 49 10.0   0.302E-04
 10  3 11  70  5 50 40.0   0.134E-03
 10  3 11  70  5 52 10.0   0.176E-03
 10  3 11  70  5 53 40.0   0.395E-03
 10  3 11  70  5 55 10.0   0.159E-03
 10  3 11  70  5 56 40.0   0.303E-03
 10  3 11  70  5 58 10.0   0.240E-03
 10  3 11  70  5 59 40.0   0.199E-03
 10  3 11  70  6  1 10.0   0.645E-03
 10  3 11  70  6  2 40.0   0.695E-03
 10  3 11  70  6  4 10.0   0.344E-03
 10  3 11  70  6  5 40.0   0.416E-03
 10  3 11  70  6  7 10.0   0.539E-03
 10  3 11  70  6  8 40.0   0.152E-03
 10  3 11  70  6 10 10.0   0.171E-03
 10  3 11  70  6 11 40.0   0.223E-03
 10  3 11  70  6 13 10.0   0.147E-03
 10  3 11  70  6 14 40.0   0.135E-03
 10  3 11  70  6 16 10.0   0.384E-03
 10  3 11  70  6 17 40.0   0.219E-03
 10  3 11  70  6 19 10.0   0.664E-03
 10  3 11  70  6 20 40.0   0.418E-03
 10  3 11  70  6 22 10.0   0.334E-03
 10  3 11  70  6 23 40.0   0.924E-04
 10  3 11  70  6 25 10.0   0.206E-03
 10  3 11  70  6 26 40.0   0.332E-03
 10  3 11  70  6 28 10.0   0.339E-03
 10  3 11  70  6 29 40.0   0.309E-04
 10  3 11  70  6 31 10.0   0.235E-03
 10  3 11  70  6 32 40.0   0.431E-03
 10  3 11  70  6 34 10.0   0.155E-03
 10  3 11  70  6 35 40.0   0.104E-03
 10  3 11  70  6 37 10.0   0.103E-03
 10  3 11  70  6 38 40.0   0.184E-03
 10  3 11  70  6 40 10.0   0.141E-03
 10  3 11  70  6 41 40.0   0.189E-03
 10  3 11  70  6 43 10.0   0.145E-03
 10  3 11  70  6 44 40.0   0.278E-03
 10  3 11  70  6 46 10.0   0.145E-03
 10  3 11  70  6 47 40.0   0.624E-04
 10  3 11  70  6 49 10.0   0.563E-04
 10  3 11  70  6 50 40.0   0.136E-03
 10  3 11  70  6 52 10.0   0.101E-03
 10  3 11  70  6 53 40.0   0.807E-04
 10  3 11  70  6 55 10.0   0.478E-04
 10  3 11  70  6 56 40.0   0.236E-03
 10  3 11  70  6 58 10.0   0.262E-03
 10  3 11  70  6 59 40.0   0.105E-03
 10  3 11  70  7  1 10.0   0.110E-03
 10  3 11  70  7  2 40.0   0.723E-04
 10  3 11  70  7  4 10.0   0.876E-04
 10  3 11  70  7  5 40.0   0.112E-03
